"id","name"
"1","Aquamax "
"2","Argo"
"3","Ariston"
"4","Baxi"
"5","Beretta"
"6","Caleffi"
"7","Carrier"
"8","CHAFFOTEAUX"
"9","Daikin"
"10","Daitsu"
"11","Elbi"
"12","Fantini Cosmi "
"13","Far"
"14","FERROLI"
"15","Fervi"
"16","Fondital"
"17","Fuji"
"18","Fujitsu"
"19","Gel"
"20","Gree"
"21","Grohe"
"22","Haier"
"23","Hermann Saunier Duval"
"24","Hisense"
"25","Immergas"
"26","Irritrol"
"27","Italkero"
"28","Karcher"
"29","Kelon"
"30","Lg"
"31","Lowara"
"32","Makita"
"33","Maxa"
"34","Metaform"
"35","Midea"
"36","Milwaukee"
"37","Mitsubishi"
"38","Multimarca"
"39","Olimpia Splendid"
"40","Palazzetti"
"41","Riello"
"42","RINNAI"
"43","Sabiana"
"44","Samsung"
"45","Sanitrit"
"46","Seitron"
"47","Stanley"
"48","Toshiba"
"49","Vaillant"
"50","Vortice"
"51","Watermatic"
"52","Wintair"
"53","Wortex"
