"id","name"
"1","Unità Interna"
"2","Unità Interna 5000 Btu - Dimensioni (LxHxP mm) - Peso (Kg)"
"3","Unità Interna 7000 Btu - Dimensioni (LxHxP mm) - Peso (Kg)"
"4","Unità Interna 9000 Btu - Dimensioni (LxHxP mm) - Peso (Kg)"
"5","Unità Interna 9000 Btu - Dimensioni (LxHxP mm) - Peso (Kg)"
"6","Unità Interna 10000 Btu - Dimensioni (LxHxP mm) - Peso (Kg)"
"7","Unità Interna 11000 Btu - Dimensioni (LxHxP mm) - Peso (Kg)"
"8","Unità Interna 12000 Btu - Dimensioni (LxHxP mm) - Peso (Kg)"
"9","Unità Interna 13000 Btu - Dimensioni (LxHxP mm) - Peso (Kg)"
"10","Unità Interna 14000 Btu - Dimensioni (LxHxP mm) - Peso (Kg)"
"11","Unità Interna 15000 Btu - Dimensioni (LxHxP mm) - Peso (Kg)"
"12","Unità Interna 18000 Btu - Dimensioni (LxHxP mm) - Peso (Kg)"
"13","Unità Interna 21000 Btu - Dimensioni (LxHxP mm) - Peso (Kg)"
"14","Unità Interna 24000 Btu - Dimensioni (LxHxP mm) - Peso (Kg)"
"15","Unità Interna 36000 Btu - Dimensioni (LxHxP mm) - Peso (Kg)"
"16","Unità Esterna - Dimensioni (LxHxP mm) - Peso (Kg)"
